UserID,summary,education_level,institution,major,skills,location,salary_expectation,desired_job
964496,lái xe tải,Trường trung cấp nghề,Trường trung cấp nghề,Trường trung cấp nghề,"Người này có kỹ năng kỹ thuật hoặc phần mềm nào? - Bằng lái xe hạng C, D, E và có kinh nghiệm 5 năm lái xe tải, 5 năm lái xe khách. - Am hiểu về xe tải, biết cách xử lý các vấn đề xảy ra với xe. - Bảo quản và giữ gìn xe sạch sẽ, thường xuyên bảo dưỡng xe. - Lái xe an toàn và đảm bảo tuân thủ luật giao thông. - Khả năng ghi nhớ nhanh chóng, nhớ đường tốt. - Kỹ năng giao tiếp và thiết lập các mối quan hệ với khách hàng, đồng nghiệp. - Kỹ năng giải quyết vấn đề; Kỹ năng giải quyết vấn đề; Bằng lái xe hạng C, D, E; Khả năng ghi nhớ nhanh chóng, nhớ đường tốt",Hà Nội,Mức lương mong muốn của người này là bao nhiêu,Nhân viên lái xe
986206,"thăng lương; Mục tiêu hoặc tóm tắt nghề nghiệp được nêu là gì? Gắn bó lâu dài với công việc cũng như doanh nghiệp tuyển dụng Sát sao với công việc, tích cực học hỏi từ mọi người Phát triển bản thân, đạt được những thành tựu tốt trong công ty Hòa hợp với mọi người trong công ty, bổ sung nhiều hơn những kỹ năng tốt Nâng cao hơn kỹ năng lái xe, đảm bảo tuân thủ luật giao thông để di chuyển phương tiện an toàn Có kế hoạch thăng tiến rõ ràng, đặt mục tiêu thăng lương",Trường trung cấp nghề,Trường trung cấp nghề,Trường trung cấp nghề,"Thông thạo luật giao thông, thạo đường xá; tăng ca ngoài giờ làm",Bình Dương,Mức lương mong muốn của người này là bao nhiêu,Nhân viên lái xe
769632,"Mong muốn được phát huy hết các khả năng, năng lực của bản thân để hỗ trợ và làm việc một cách hiệu quả nhất; phát huy hết các khả năng, năng lực của bản thân để hỗ trợ và làm việc một cách hiệu quả nhất",,,,Kỹ năng làm việc nhóm; Người này có chứng chỉ hoặc bằng cấp,Bắc Giang,Mức lương mong muốn của người này là bao nhiêu,"Nhân viên văn phòng, khu công nghiệp"
981314,"Trở thành kỹ sư tốt trong công tác sửa chữa xe vận tải; Tóm tắt kinh nghiệm làm việc là gì? Trở thành kỹ sư tốt trong công tác sửa chữa xe vận tải Người hậu cần xuất sắc hỗ trợ công tác chuyên chở hành hóa vận tải của công ty Đảm bảo thực hiện công việc tốt mà công ty, doanh nghiệp giao phó cho Làm việc với tinh thần trách nhiệm cao nhất",Trung tâm dạy nghề,Trung tâm dạy nghề,Chuyên ngành học là gì? Đơn vị đào tạo: Trung tâm dạy nghề,"công nghệ thông tin, tin học văn phòng; Am hiểu các kỹ thuật khó, mang tính chuyên môn cao; chứng chỉ đảm bảo kỹ thuật sửa chữa, bảo trì các phương tiện (ô tô, xe máy)",Hà Nội,Mức lương mong muốn của người này là bao nhiêu,Nhân viên lái xe hạng C
962892,"Mong muốn tìm được chỗ làm có cơ hội thăng tiến tốt; Có một công việc có nhiều cơ hội thăng tiến, môi trường làm việc chuyên nghiệp, thân thiện. - Có công việc phù hợp với bản thân; tìm được chỗ làm có cơ hội thăng tiến tốt",Cao Đẳng Kinh Tế Kỹ Thuật Vinatex,Cao Đẳng Kinh Tế Kỹ Thuật Vinatex,Công nghệ may,"tin học văn phòng; Trung thực, cẩn thận, có óc sáng tạo - Kỹ năng giao tiếp linh hoạt, có khả năng thuyết trình và trình bày - Dễ dàng hòa nhập với môi trường làm việc mới - Kỹ năng tổ chức và quản lý công việc hiệu quả; Người này có chứng chỉ hoặc bằng cấp gì",Hồ Chí Minh,Mức lương mong muốn của người này là bao nhiêu,Nhân viên thu mua
967782,Mong muốn tìm được chỗ làm có cơ hội thăng tiến tốt; Được làm việc trong môi trường có nhiều yếu tố cạnh tranh tích cực; tìm được chỗ làm có cơ hội thăng tiến tốt,Đại học Thương Mại Chuyên ngành: Kế Toán,Đại học Thương Mại,Kế Toán,"Người này có kỹ năng kỹ thuật hoặc phần mềm nào? - Trung thực, cẩn thận, có óc sáng tạo - Kỹ năng giao tiếp linh hoạt, có khả năng thuyết trình và trình bày - Có khả năng thích nghi nhanh với môi trường làm việc - Quản lý thời gian hiệu quả - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm cũng như làm việc độc lập. - Xử lý tình huống nhanh - Kỹ năng thao tác bàn phím; Trung thực, cẩn thận, có óc sáng tạo - Kỹ năng giao tiếp linh hoạt, có khả năng thuyết trình và trình bày - Có khả năng thích nghi nhanh với môi trường làm việc - Quản lý thời gian hiệu quả - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm cũng như làm việc độc lập; chứng chỉ hoặc bằng cấp gì; Trung thực, cẩn thận, có óc sáng tạo; bàn phím",Bắc Giang,Mức lương mong muốn của người này là bao nhiêu,Nhân viên Hành Chính Nhân Sự
986307,,Trường trung cấp nghề,Trường trung cấp nghề,Trường trung cấp nghề,"Người này có chứng chỉ hoặc bằng cấp; siêng năng, chịu khó",Bình Dương,Mức lương mong muốn của người này là bao nhiêu,Nhân viên lái xe
990789,phát triển năng lực chuyên môn của mình tại lĩnh vực vận tải; vận tải - lái xe; được làm việc tại môi trường chuyên nghiệp như công ty,Trung tâm dạy nghề,Trung tâm dạy nghề,Chuyên ngành học là gì? Đơn vị đào tạo: Trung tâm dạy nghề,"Người này có kỹ năng kỹ thuật hoặc phần mềm nào? - Có bằng lái xe B2 - Nắm rõ các quy định về quy trình vận tải hành khách và hàng hóa, hiểu luật giao thông; Các kỹ năng chuyên môn hoặc năng lực được đề cập là gì? - Có bằng lái xe B2 - Nắm rõ các quy định về quy trình vận tải hành khách và hàng hóa, hiểu luật giao thông; bằng lái xe B2; hiểu luật giao thông",Bình Dương,Mức lương mong muốn của người này là bao nhiêu,Nhân viên lái xe hạng C
981988,Mong muốn tìm được chỗ làm ổn định lâu dàiMong muốn tìm được chỗ làm có cơ hội thăng tiến tốtMong muốn tìm được chỗ làm có mức lương tốtMong muốn tìm được nơi có cơ hội cống hiến bản thân tốtMong muốn được làm việc trong môi trường chuyên nghiệp; cơ hội thăng tiến tốtMong muốn tìm được chỗ làm có mức lương tốt,Trung học,ĐH Sài Gòn,Trung học,"Ngoại ngữ, làm việc nhóm, thái độ làm việc; làm việc nhóm",Hà Nội,"5,000,000 - 10,000,000","Phục vụ, Phiên dịch"
966890,Phấn đấu trở thành nhân viên có vị trí cao hơn; Tóm tắt kinh nghiệm làm việc là gì? - Được làm việc trong môi trường có nhiều yếu tố cạnh tranh tích cực; Mục tiêu hoặc tóm tắt nghề nghiệp được nêu là gì? - Được làm việc trong môi trường có nhiều yếu tố cạnh tranh tích cực - Công việc ổn định để gắn bó lâu dài; nhân viên có vị trí cao hơn,2 năm kinh nghiệm trong lĩnh vực Xây Dựng,,Xây Dựng,"bàn phím; Kỹ năng lên kế hoạch, tổ chức sắp xếp công việc; chứng chỉ hoặc bằng cấp gì",Hồ Chí Minh,Mức lương mong muốn của người này là bao nhiêu,Nhân viên Kinh Doanh
