type,field,EMB,QA,winner,precision_diff,winning_precision
CV,desired_job,1.0,1.0,TIE,0.0,1.0
CV,education_level,0.2113888888888889,0.47857142857142854,QA,0.26718253968253963,0.47857142857142854
CV,institution,0.3716666666666667,0.8,QA,0.42833333333333334,0.8
CV,location,1.0,1.0,TIE,0.0,1.0
CV,major,0.088015873015873,0.38269230769230766,QA,0.2946764346764347,0.38269230769230766
CV,salary_expectation,1.0,0.1,EMB,0.9,1.0
CV,skills,0.5519643203476662,0.6712742171802054,QA,0.11930989683253923,0.6712742171802054
CV,summary,0.617162105159979,0.6375175123256964,QA,0.020355407165717376,0.6375175123256964
JD,job_description,0.05092030683074313,0.12237585943468296,QA,0.07145555260393982,0.12237585943468296
JD,job_location,1.0,1.0,TIE,0.0,1.0
JD,required_education_level,0.06258333196428614,0.31875,QA,0.25616666803571386,0.31875
JD,required_major,0.06840478123735293,0.4211764705882353,QA,0.3527716893508824,0.4211764705882353
JD,required_skills,0.40524039612387275,0.4520924337100808,QA,0.04685203758620804,0.4520924337100808
JD,requirements,0.5857383194662373,0.2666234412307089,EMB,0.3191148782355284,0.5857383194662373
JD,responsibilities,0.5033596532023101,0.6934248019514706,QA,0.19006514874916047,0.6934248019514706
JD,salary_offer,1.0,1.0,TIE,0.0,1.0
