JobID,job_description,responsibilities,requirements,required_education_level,required_major,required_skills,salary_offer,job_location
0,"Kiểm tra các đơn hàng đến từ website TMĐT, xác thực đơn hàng và chịu trách nhiệm điều phối đơn hàng","Kiểm tra các đơn hàng đến từ website TMĐT, xác thực đơn hàng và chịu trách nhiệm điều phối đơn hàng; Thường xuyên cập nhật các thay đổi liên quan trong chính sách bán hàng, chương trình khuyến mại của công tyLàm việc với các đối tác chiến lược, mang lại các chương trình collab hiệu quảKiểm tra các đơn hàng đến từ website TMĐT, xác thực đơn hàng và chịu trách nhiệm điều phối đơn hàng; điều phối đơn hàng","Kiểm tra các đơn hàng đến từ website TMĐT, xác thực đơn hàng và chịu trách nhiệm điều phối đơn hàng; Thường xuyên cập nhật các thay đổi liên quan trong chính sách bán hàng, chương trình khuyến mại của công tyLàm việc với các đối tác chiến lược, mang lại các chương trình collab hiệu quảKiểm tra các đơn hàng đến từ website TMĐT, xác thực đơn hàng và chịu trách nhiệm điều phối đơn hàng",Tốt nghiệp đại học/cao đẳng,Tốt nghiệp đại học/cao đẳng,Kỹ năng tin học văn phòng tốt (đặc biệt thành thạo Excel).; Tốt nghiệp đại học/cao đẳng,"5,000,000 - 10,000,000",Hà Nội
1,,,,"Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin",công nghệ thông tin,"Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin; Ứng viên phải biết công cụ, công nghệ hoặc phương pháp nào? Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin.Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần.Những người quan tâm đến thị trường No-code và Low-code mới và muốn làm việc trong lĩnh vực này.Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành.Có laptop cá nhân. Phối hợp với bộ phận lập trình No-code, Low-code phát triển các ứng dụng sử dụng nền tảng phát triển No-code, Low-code","1,000,000 - 5,000,000",Hồ Chí Minh
2,"Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên","Xây dựng và thực hiện chiến lược nhân sự phù hợp với chiến lược kinh doanh tổng thể trong từng giai đoạn phát triển của Công ty.Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên; Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên",,Tốt nghiệp đại học,"Tốt nghiệp đại học các chuyên ngành liên quan như kinh tế, quản trị, hành chánh, luật","Kỹ năng phân tích, tổng hợp, làm báo cáo; Kỹ năng lãnh đạo nhân viên; lập kế hoạch; giao tiếp tốt; Tốt nghiệp đại học",Thỏa thuận,Hồ Chí Minh
3,"Công việc chính hoặc vị trí được tuyển dụng là gì? 1. Lập và triển khai kế hoạch kinh doanh- Định kỳ phối hợp với các bộ phận liên quan đặt ra chỉ tiêu, định hướng và lập kế hoạch kinh doanh phù hợp với tình hình chung.- Xây dựng mối quan hệ với các khách hàng trọng điểm.- Tham mưu, giúp việc cho Ban Giám đốc về mọi hoạt động quản lý, điều hành khách sạn","quản lý, điều hành khách sạn; Tham mưu, giúp việc cho Ban Giám đốc về mọi hoạt động quản lý, điều hành khách sạn; Tham mưu, giúp việc cho Ban Giám đốc về mọi hoạt động quản lý, điều hành khách sạn; Làm việc dưới sự chỉ đạo của Ban Giám đốc và báo cáo trực tiếp cho Ban Giám đốc, thiết lập và quản lý kế hoạch, mang lại kết quả kinh doanh tốt","Yêu cầu cho công việc này là gì? 1. Lập và triển khai kế hoạch kinh doanh- Định kỳ phối hợp với các bộ phận liên quan đặt ra chỉ tiêu, định hướng và lập kế hoạch kinh doanh phù hợp với tình hình chung.- Xây dựng mối quan hệ với các khách hàng trọng điểm.- Tham mưu, giúp việc cho Ban Giám đốc về mọi hoạt động quản lý, điều hành khách sạn; Làm việc dưới sự chỉ đạo của Ban Giám đốc và báo cáo trực tiếp cho Ban Giám đốc, thiết lập và quản lý kế hoạch, mang lại kết quả kinh doanh tốt; Lập và triển khai kế hoạch kinh doanh",Tốt nghiệp đại học trở lên,"quản trị du lịch, quản trị kinh doanh","Tin học văn phòng, các phần mềm quản lý; chứng chỉ nghiệp vụ chuyên môn tương đương; Ít nhất 3-5 năm kinh nghiệm ở vị trí tương đương tại các khách sạn 3,4,5 sao; tiếng Anh",Thỏa thuận,Đà Nẵng
4,Trực quầy Lễ tân,Trực quầy Lễ tân,"Trực quầy Lễ tân; Lễ tân, Chăm sóc khách hàng, Telesale",Tốt nghiệp trung cấp trở lên,"quản trị kinh doanh, dịch vụ khách hàng, nhà hàng khách sạn",giao tiếp/tư vấn/thuyết phục; Kỹ năng giao tiếp/tư vấn/thuyết phục; Tốt nghiệp trung cấp trở lên,"5,000,000 - 10,000,000",Hồ Chí Minh
5,"Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách","Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách","Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách",,,Yêu cầu kỹ năng kỹ thuật hoặc phần mềm nào cho công việc này? • Kiến thức về các công cụ khung dây (Figma và InDesign)• Cập nhật kiến thức về phần mềm thiết kế; Kỹ năng quản lý thời gian tốt; khung dây,Thỏa thuận,Hà Nội
6,Thực hiện các công việc khác theo sự phân công của cấp trên,"Thực hiện các công việc khác theo sự phân công của cấp trên; Thực hiện các công việc khác; Tìm hiểu, nghiên cứu về các sản phẩm của công ty để giới thiệu, tư vấn và giải đáp thắc mắc cho khách hàng. Đàm phán, thương lượng với khách hàng về giá cả, hợp đồng, tiến hành chốt đơn và hỗ trợ khách hàng ký hợp đồng. Chăm sóc khách hàng sau khi bán hàng, duy trì mối quan hệ với khách hàng hiện tại. Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ. Thực hiện các công việc khác theo sự phân công của cấp trên; Tìm hiểu, nghiên cứu về các sản phẩm của công ty để giới thiệu, tư vấn và giải đáp thắc mắc cho khách hàng. Đàm phán, thương lượng với khách hàng về giá cả, hợp đồng, tiến hành chốt đơn và hỗ trợ khách hàng ký hợp đồng. Chăm sóc khách hàng sau khi bán hàng","Thực hiện các công việc khác theo sự phân công của cấp trên; Kinh nghiệm hoặc kỹ năng nào được yêu cầu? Tìm hiểu, nghiên cứu về các sản phẩm của công ty để giới thiệu, tư vấn và giải đáp thắc mắc cho khách hàng. Đàm phán, thương lượng với khách hàng về giá cả, hợp đồng, tiến hành chốt đơn và hỗ trợ khách hàng ký hợp đồng. Chăm sóc khách hàng sau khi bán hàng, duy trì mối quan hệ với khách hàng hiện tại. Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ. Thực hiện các công việc khác theo sự phân công của cấp trên. - Chấp nhận ứng viên mới tốt nghiệp hoặc đã tốt nghiệp cao đẳng","Có kinh nghiệm tư vấn, bán hàng (online hoặc direct) dưới 1 năm kinh nghiệm",kinh tế,"Có kinh nghiệm tư vấn, bán hàng (online hoặc direct) dưới 1 năm kinh nghiệm; dưới 1 năm kinh nghiệm","5,000,000 - 10,000,000",Hồ Chí Minh
7,,"Tìm kiếm, xử lý hình ảnh, video sản phẩm; Theo dõi đánh giá; Tìm kiếm, xử lý hình ảnh, video sản phẩm. - Lên chiến dịch quảng cáo Facebook. Tik Tok, Youtube. - Phân tích và tìm kiếm sản phẩm phù hợp với khách hàng","Yêu cầu cho công việc này là gì? - Tìm kiếm, xử lý hình ảnh, video sản phẩm. - Lên chiến dịch quảng cáo Facebook. Tik Tok, Youtube. - Phân tích và tìm kiếm sản phẩm phù hợp với khách hàng; Tìm kiếm, xử lý hình ảnh, video sản phẩm",Nam/Nữ tuổi từ 18-24 tuổi,Có laptop cá nhân,"Có kỹ năng viết bài, xử lý hình ảnh, video; Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản; ưu tiên ứng viên có kinh nghiệm chạy quảng cáo Facebook Ads, Tik Tok Ads,....; Facebook Ads, Tik Tok Ads; Yêu cầu chứng chỉ hoặc giấy phép gì? - Nam/Nữ tuổi từ 18-24 tuổi , ưu tiên ứng viên có kinh nghiệm chạy quảng cáo Facebook Ads, Tik Tok Ads,.... - Hỗ trợ đào tạo cho các ứng viên là sinh viên mới ra trường hoặc chuẩn bị ra trường , có đam mê với marketing, truyền thông, quảng cáo,.... - Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản. - Có laptop cá nhân","10,000,000 - 15,000,000",Hà Nội
8,"Công việc này là về gì? At least 5+ years of experience with Objective-C or Swift, React Native, and Cocoa TouchExperience with iOS frameworks such as Core Data, Core Animation, etc.Experience with offline storage, threading, and performance tuningFamiliarity with RESTful APIs to connect iOS applications to back-end servicesFluent in written and spoken EnglishExperience with AWS and GCP Our team work together to accomplish challenges. You need to be someone who can show your passion and ambition while looking out for your squad",accomplish challenges; You need to be someone who can show your passion and ambition while looking out for your squad,"You need to be someone who can show your passion and ambition; At least 5+ years of experience with Objective-C or Swift, React Native, and Cocoa Touch; iOS frameworks",At least 5+ years of experience,At least 5+ years of experience,At least 5+ years of experience; 5+ years,Thỏa thuận,Hồ Chí Minh
9,Nhân viên tư vấn bán hàng thời trang nữ công sở,"Nhân viên tư vấn bán hàng thời trang nữ công sở, hàng thiết kế của công ty; tư vấn bán hàng thời trang nữ công sở; Nhân viên tư vấn bán hàng thời trang nữ công sở; Nhân viên tư vấn bán hàng thời trang nữ","Nhân viên tư vấn bán hàng thời trang nữ công sở, hàng thiết kế của công ty. - Trưng bày các mặt hàng, đón khách, tư vấn khách. - Nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách. - Trao đổi chi tiết khi phỏng vấn - Ưu tiên các bạn nữ yêu thích kinh doanh; Có kinh nghiệm bán hàng quần áo công sở, bán hàng online","Đại học, cao đẳng hay trung học phổ thông",kinh doanh,"máy tính để nhập thông tin hóa đơn bán hàng trên phần mềm; Có kinh nghiệm bán hàng quần áo công sở, bán hàng online; kinh nghiệm bán hàng quần áo công sở, bán hàng online; máy tính","5,000,000 - 10,000,000",Yên Bái
