type,field,QA_mean_precision,EMB_mean_precision,winner,precision_diff
CV,desired_job,1.0,1.0,TIE,0.0
CV,education_level,0.4786,0.2114,QA,0.2672
CV,institution,0.8,0.3717,QA,0.4283
CV,location,1.0,1.0,TIE,0.0
CV,major,0.3827,0.0938,QA,0.2889
CV,salary_expectation,0.1,1.0,EMB,0.9
CV,skills,0.6713,0.6815,EMB,0.0102
CV,summary,0.6375,0.709,EMB,0.0715
JD,job_description,0.1224,0.0423,QA,0.08
JD,job_location,1.0,1.0,TIE,0.0
JD,required_education_level,0.3188,0.0517,QA,0.267
JD,required_major,0.4212,0.0396,QA,0.3816
JD,required_skills,0.4521,0.2275,QA,0.2246
JD,requirements,0.2666,0.4115,EMB,0.1449
JD,responsibilities,0.6934,0.477,QA,0.2164
JD,salary_offer,1.0,1.0,TIE,0.0
